Target_City,Target_District,Target_Lat,Target_Lon,API_Timezone,API_Station_ID,aqi,co,datetime,no2,o3,pm10,pm25,so2,timestamp_local,timestamp_utc,ts
An Giang,Rach Gia,10.0124,105.0809,Asia/Ho_Chi_Minh,,74,159.7,2023-01-31:17,12.3,58.7,35.3,23.33,15.3,2023-02-01T00:00:00,2023-01-31T17:00:00,1675184400
An Giang,Rach Gia,10.0124,105.0809,Asia/Ho_Chi_Minh,,86,183.4,2023-01-31:16,15.7,60.3,42.7,28.67,18.7,2023-01-31T23:00:00,2023-01-31T16:00:00,1675180800
An Giang,Rach Gia,10.0124,105.0809,Asia/Ho_Chi_Minh,,98,207.2,2023-01-31:15,19,62,50,34,22,2023-01-31T22:00:00,2023-01-31T15:00:00,1675177200
An Giang,Rach Gia,10.0124,105.0809,Asia/Ho_Chi_Minh,,95,196.5,2023-01-31:14,18.3,71,49,33,22,2023-01-31T21:00:00,2023-01-31T14:00:00,1675173600
An Giang,Rach Gia,10.0124,105.0809,Asia/Ho_Chi_Minh,,93,185.8,2023-01-31:13,17.7,80,48,32,22,2023-01-31T20:00:00,2023-01-31T13:00:00,1675170000
An Giang,Rach Gia,10.0124,105.0809,Asia/Ho_Chi_Minh,,91,175.1,2023-01-31:12,17,89,47,31,22,2023-01-31T19:00:00,2023-01-31T12:00:00,1675166400
An Giang,Rach Gia,10.0124,105.0809,Asia/Ho_Chi_Minh,,89,162.2,2023-01-31:11,12,106,45.3,30,20,2023-01-31T18:00:00,2023-01-31T11:00:00,1675162800
An Giang,Rach Gia,10.0124,105.0809,Asia/Ho_Chi_Minh,,87,149.4,2023-01-31:10,7,123,43.7,29,18,2023-01-31T17:00:00,2023-01-31T10:00:00,1675159200
An Giang,Rach Gia,10.0124,105.0809,Asia/Ho_Chi_Minh,,85,136.6,2023-01-31:09,2,140,42,28,16,2023-01-31T16:00:00,2023-01-31T09:00:00,1675155600
An Giang,Rach Gia,10.0124,105.0809,Asia/Ho_Chi_Minh,,86,139.9,2023-01-31:08,2,136.7,43,28.67,15.3,2023-01-31T15:00:00,2023-01-31T08:00:00,1675152000
An Giang,Rach Gia,10.0124,105.0809,Asia/Ho_Chi_Minh,,87,143.2,2023-01-31:07,2,133.3,44,29.33,14.7,2023-01-31T14:00:00,2023-01-31T07:00:00,1675148400
An Giang,Rach Gia,10.0124,105.0809,Asia/Ho_Chi_Minh,,89,146.5,2023-01-31:06,2,130,45,30,14,2023-01-31T13:00:00,2023-01-31T06:00:00,1675144800
An Giang,Rach Gia,10.0124,105.0809,Asia/Ho_Chi_Minh,,87,157.4,2023-01-31:05,2,121,44.3,29.33,14,2023-01-31T12:00:00,2023-01-31T05:00:00,1675141200
An Giang,Rach Gia,10.0124,105.0809,Asia/Ho_Chi_Minh,,86,168.3,2023-01-31:04,2,112,43.7,28.67,14,2023-01-31T11:00:00,2023-01-31T04:00:00,1675137600
An Giang,Rach Gia,10.0124,105.0809,Asia/Ho_Chi_Minh,,85,179.2,2023-01-31:03,2,103,43,28,14,2023-01-31T10:00:00,2023-01-31T03:00:00,1675134000
An Giang,Rach Gia,10.0124,105.0809,Asia/Ho_Chi_Minh,,85,191,2023-01-31:02,4,88.3,43.3,28.33,13.7,2023-01-31T09:00:00,2023-01-31T02:00:00,1675130400
An Giang,Rach Gia,10.0124,105.0809,Asia/Ho_Chi_Minh,,86,202.9,2023-01-31:01,6,73.7,43.7,28.67,13.3,2023-01-31T08:00:00,2023-01-31T01:00:00,1675126800
An Giang,Rach Gia,10.0124,105.0809,Asia/Ho_Chi_Minh,,87,214.8,2023-01-31:00,8,59,44,29,13,2023-01-31T07:00:00,2023-01-31T00:00:00,1675123200
An Giang,Rach Gia,10.0124,105.0809,Asia/Ho_Chi_Minh,,87,210.7,2023-01-30:23,8,56.3,44,29,14,2023-01-31T06:00:00,2023-01-30T23:00:00,1675119600
An Giang,Rach Gia,10.0124,105.0809,Asia/Ho_Chi_Minh,,87,206.6,2023-01-30:22,8,53.7,44,29,15,2023-01-31T05:00:00,2023-01-30T22:00:00,1675116000
An Giang,Rach Gia,10.0124,105.0809,Asia/Ho_Chi_Minh,,87,202.5,2023-01-30:21,8,51,44,29,16,2023-01-31T04:00:00,2023-01-30T21:00:00,1675112400
An Giang,Rach Gia,10.0124,105.0809,Asia/Ho_Chi_Minh,,91,204.6,2023-01-30:20,11,51,47.3,31,18.7,2023-01-31T03:00:00,2023-01-30T20:00:00,1675108800
An Giang,Rach Gia,10.0124,105.0809,Asia/Ho_Chi_Minh,,95,206.8,2023-01-30:19,14,51,50.7,33,21.3,2023-01-31T02:00:00,2023-01-30T19:00:00,1675105200
An Giang,Rach Gia,10.0124,105.0809,Asia/Ho_Chi_Minh,,100,208.9,2023-01-30:18,17,51,54,35,24,2023-01-31T01:00:00,2023-01-30T18:00:00,1675101600
An Giang,Rach Gia,10.0124,105.0809,Asia/Ho_Chi_Minh,,95,202.3,2023-01-30:17,16,54,50.7,32.67,22.7,2023-01-31T00:00:00,2023-01-30T17:00:00,1675098000
An Giang,Rach Gia,10.0124,105.0809,Asia/Ho_Chi_Minh,,90,195.7,2023-01-30:16,15,57,47.3,30.33,21.3,2023-01-30T23:00:00,2023-01-30T16:00:00,1675094400
An Giang,Rach Gia,10.0124,105.0809,Asia/Ho_Chi_Minh,,85,189.1,2023-01-30:15,14,60,44,28,20,2023-01-30T22:00:00,2023-01-30T15:00:00,1675090800
An Giang,Rach Gia,10.0124,105.0809,Asia/Ho_Chi_Minh,,82,183.1,2023-01-30:14,13.3,65,43,27,20,2023-01-30T21:00:00,2023-01-30T14:00:00,1675087200
