Target_City,Target_District,Target_Lat,Target_Lon,API_Timezone,API_Station_ID,aqi,co,datetime,no2,o3,pm10,pm25,so2,timestamp_local,timestamp_utc,ts
Can Tho,Cai Rang,10.0009,105.751,Asia/Ho_Chi_Minh,,56,115.2,2023-01-31:17,8,64,23,14.67,11.3,2023-02-01T00:00:00,2023-01-31T17:00:00,1675184400
Can Tho,Cai Rang,10.0009,105.751,Asia/Ho_Chi_Minh,,57,123.5,2023-01-31:16,9,68,24,15.33,11.7,2023-01-31T23:00:00,2023-01-31T16:00:00,1675180800
Can Tho,Cai Rang,10.0009,105.751,Asia/Ho_Chi_Minh,,59,131.9,2023-01-31:15,10,72,25,16,12,2023-01-31T22:00:00,2023-01-31T15:00:00,1675177200
Can Tho,Cai Rang,10.0009,105.751,Asia/Ho_Chi_Minh,,66,143.8,2023-01-31:14,13.3,75,29.7,19.33,13.7,2023-01-31T21:00:00,2023-01-31T14:00:00,1675173600
Can Tho,Cai Rang,10.0009,105.751,Asia/Ho_Chi_Minh,,73,155.6,2023-01-31:13,16.7,78,34.3,22.67,15.3,2023-01-31T20:00:00,2023-01-31T13:00:00,1675170000
Can Tho,Cai Rang,10.0009,105.751,Asia/Ho_Chi_Minh,,80,167.5,2023-01-31:12,20,81,39,26,17,2023-01-31T19:00:00,2023-01-31T12:00:00,1675166400
Can Tho,Cai Rang,10.0009,105.751,Asia/Ho_Chi_Minh,,80,153.1,2023-01-31:11,14.3,98,39,25.67,17,2023-01-31T18:00:00,2023-01-31T11:00:00,1675162800
Can Tho,Cai Rang,10.0009,105.751,Asia/Ho_Chi_Minh,,79,138.7,2023-01-31:10,8.7,115,39,25.33,17,2023-01-31T17:00:00,2023-01-31T10:00:00,1675159200
Can Tho,Cai Rang,10.0009,105.751,Asia/Ho_Chi_Minh,,78,124.3,2023-01-31:09,3,132,39,25,17,2023-01-31T16:00:00,2023-01-31T09:00:00,1675155600
Can Tho,Cai Rang,10.0009,105.751,Asia/Ho_Chi_Minh,,85,137.1,2023-01-31:08,3,140.7,43,28,20,2023-01-31T15:00:00,2023-01-31T08:00:00,1675152000
Can Tho,Cai Rang,10.0009,105.751,Asia/Ho_Chi_Minh,,91,150,2023-01-31:07,3,149.3,47,31,23,2023-01-31T14:00:00,2023-01-31T07:00:00,1675148400
Can Tho,Cai Rang,10.0009,105.751,Asia/Ho_Chi_Minh,,98,162.8,2023-01-31:06,3,158,51,34,26,2023-01-31T13:00:00,2023-01-31T06:00:00,1675144800
Can Tho,Cai Rang,10.0009,105.751,Asia/Ho_Chi_Minh,,99,176.8,2023-01-31:05,4,148.3,52,34.67,27.3,2023-01-31T12:00:00,2023-01-31T05:00:00,1675141200
Can Tho,Cai Rang,10.0009,105.751,Asia/Ho_Chi_Minh,,100,190.8,2023-01-31:04,5,138.7,53,35.33,28.7,2023-01-31T11:00:00,2023-01-31T04:00:00,1675137600
Can Tho,Cai Rang,10.0009,105.751,Asia/Ho_Chi_Minh,,102,204.8,2023-01-31:03,6,129,54,36,30,2023-01-31T10:00:00,2023-01-31T03:00:00,1675134000
Can Tho,Cai Rang,10.0009,105.751,Asia/Ho_Chi_Minh,,119,244.9,2023-01-31:02,14,95.3,63.3,42.33,29.7,2023-01-31T09:00:00,2023-01-31T02:00:00,1675130400
Can Tho,Cai Rang,10.0009,105.751,Asia/Ho_Chi_Minh,,136,285,2023-01-31:01,22,61.7,72.7,48.67,29.3,2023-01-31T08:00:00,2023-01-31T01:00:00,1675126800
Can Tho,Cai Rang,10.0009,105.751,Asia/Ho_Chi_Minh,,153,325.1,2023-01-31:00,30,28,82,55,29,2023-01-31T07:00:00,2023-01-31T00:00:00,1675123200
Can Tho,Cai Rang,10.0009,105.751,Asia/Ho_Chi_Minh,,153,342,2023-01-30:23,33.3,23.7,85.3,57.33,34.3,2023-01-31T06:00:00,2023-01-30T23:00:00,1675119600
Can Tho,Cai Rang,10.0009,105.751,Asia/Ho_Chi_Minh,,156,358.9,2023-01-30:22,36.7,19.3,88.7,59.67,39.7,2023-01-31T05:00:00,2023-01-30T22:00:00,1675116000
Can Tho,Cai Rang,10.0009,105.751,Asia/Ho_Chi_Minh,,159,375.8,2023-01-30:21,40,15,92,62,45,2023-01-31T04:00:00,2023-01-30T21:00:00,1675112400
Can Tho,Cai Rang,10.0009,105.751,Asia/Ho_Chi_Minh,,157,379.3,2023-01-30:20,43.7,15.7,89.7,60.33,45,2023-01-31T03:00:00,2023-01-30T20:00:00,1675108800
Can Tho,Cai Rang,10.0009,105.751,Asia/Ho_Chi_Minh,,154,382.8,2023-01-30:19,47.3,16.3,87.3,58.67,45,2023-01-31T02:00:00,2023-01-30T19:00:00,1675105200
Can Tho,Cai Rang,10.0009,105.751,Asia/Ho_Chi_Minh,,152,386.3,2023-01-30:18,51,17,85,57,45,2023-01-31T01:00:00,2023-01-30T18:00:00,1675101600
Can Tho,Cai Rang,10.0009,105.751,Asia/Ho_Chi_Minh,,147,371.6,2023-01-30:17,49,22,79,52.67,41,2023-01-31T00:00:00,2023-01-30T17:00:00,1675098000
Can Tho,Cai Rang,10.0009,105.751,Asia/Ho_Chi_Minh,,135,356.8,2023-01-30:16,47,27,73,48.33,37,2023-01-30T23:00:00,2023-01-30T16:00:00,1675094400
Can Tho,Cai Rang,10.0009,105.751,Asia/Ho_Chi_Minh,,123,342,2023-01-30:15,45,32,67,44,33,2023-01-30T22:00:00,2023-01-30T15:00:00,1675090800
Can Tho,Cai Rang,10.0009,105.751,Asia/Ho_Chi_Minh,,113,307.6,2023-01-30:14,39.7,44,61.3,40.33,31.7,2023-01-30T21:00:00,2023-01-30T14:00:00,1675087200
Can Tho,Cai Rang,10.0009,105.751,Asia/Ho_Chi_Minh,,103,273.1,2023-01-30:13,34.3,56,55.7,36.67,30.3,2023-01-30T20:00:00,2023-01-30T13:00:00,1675083600
Can Tho,Cai Rang,10.0009,105.751,Asia/Ho_Chi_Minh,,95,238.7,2023-01-30:12,29,68,50,33,29,2023-01-30T19:00:00,2023-01-30T12:00:00,1675080000
Can Tho,Cai Rang,10.0009,105.751,Asia/Ho_Chi_Minh,,93,213.4,2023-01-30:11,20.7,101.3,48.3,32,29,2023-01-30T18:00:00,2023-01-30T11:00:00,1675076400
Can Tho,Cai Rang,10.0009,105.751,Asia/Ho_Chi_Minh,,91,188.1,2023-01-30:10,12.3,134.7,46.7,31,29,2023-01-30T17:00:00,2023-01-30T10:00:00,1675072800
Can Tho,Cai Rang,10.0009,105.751,Asia/Ho_Chi_Minh,,102,162.8,2023-01-30:09,4,168,45,30,29,2023-01-30T16:00:00,2023-01-30T09:00:00,1675069200
Can Tho,Cai Rang,10.0009,105.751,Asia/Ho_Chi_Minh,,103,166.7,2023-01-30:08,3.7,169,45.7,30.33,31,2023-01-30T15:00:00,2023-01-30T08:00:00,1675065600
Can Tho,Cai Rang,10.0009,105.751,Asia/Ho_Chi_Minh,,103,170.6,2023-01-30:07,3.3,170,46.3,30.67,33,2023-01-30T14:00:00,2023-01-30T07:00:00,1675062000
Can Tho,Cai Rang,10.0009,105.751,Asia/Ho_Chi_Minh,,103,174.5,2023-01-30:06,3,171,47,31,35,2023-01-30T13:00:00,2023-01-30T06:00:00,1675058400
