Target_City,Target_District,Target_Lat,Target_Lon,API_Timezone,API_Station_ID,aqi,co,datetime,no2,o3,pm10,pm25,so2,timestamp_local,timestamp_utc,ts
Hai Phong,Do Son,20.7136,106.7894,Asia/Ho_Chi_Minh,,113,173.9,2023-01-31:17,9.3,105.3,67.7,40.33,48,2023-02-01T00:00:00,2023-01-31T17:00:00,1675184400
Hai Phong,Do Son,20.7136,106.7894,Asia/Ho_Chi_Minh,,106,170.4,2023-01-31:16,10.7,105.7,65.3,37.67,50,2023-01-31T23:00:00,2023-01-31T16:00:00,1675180800
Hai Phong,Do Son,20.7136,106.7894,Asia/Ho_Chi_Minh,,100,166.9,2023-01-31:15,12,106,63,35,52,2023-01-31T22:00:00,2023-01-31T15:00:00,1675177200
Hai Phong,Do Son,20.7136,106.7894,Asia/Ho_Chi_Minh,,108,172,2023-01-31:14,13,109,68.3,38.33,64.3,2023-01-31T21:00:00,2023-01-31T14:00:00,1675173600
Hai Phong,Do Son,20.7136,106.7894,Asia/Ho_Chi_Minh,,117,177,2023-01-31:13,14,112,73.7,41.67,76.7,2023-01-31T20:00:00,2023-01-31T13:00:00,1675170000
Hai Phong,Do Son,20.7136,106.7894,Asia/Ho_Chi_Minh,,126,182.1,2023-01-31:12,15,115,79,45,89,2023-01-31T19:00:00,2023-01-31T12:00:00,1675166400
Hai Phong,Do Son,20.7136,106.7894,Asia/Ho_Chi_Minh,,139,188.5,2023-01-31:11,17.7,113,85.7,49.67,134.3,2023-01-31T18:00:00,2023-01-31T11:00:00,1675162800
Hai Phong,Do Son,20.7136,106.7894,Asia/Ho_Chi_Minh,,151,194.9,2023-01-31:10,20.3,111,92.3,54.33,179.7,2023-01-31T17:00:00,2023-01-31T10:00:00,1675159200
Hai Phong,Do Son,20.7136,106.7894,Asia/Ho_Chi_Minh,,155,201.3,2023-01-31:09,23,109,99,59,225,2023-01-31T16:00:00,2023-01-31T09:00:00,1675155600
Hai Phong,Do Son,20.7136,106.7894,Asia/Ho_Chi_Minh,,157,198,2023-01-31:08,23.7,106.7,100.3,60.67,228.7,2023-01-31T15:00:00,2023-01-31T08:00:00,1675152000
Hai Phong,Do Son,20.7136,106.7894,Asia/Ho_Chi_Minh,,159,194.7,2023-01-31:07,24.3,104.3,101.7,62.33,232.3,2023-01-31T14:00:00,2023-01-31T07:00:00,1675148400
Hai Phong,Do Son,20.7136,106.7894,Asia/Ho_Chi_Minh,,161,191.4,2023-01-31:06,25,102,103,64,236,2023-01-31T13:00:00,2023-01-31T06:00:00,1675144800
Hai Phong,Do Son,20.7136,106.7894,Asia/Ho_Chi_Minh,,150,176.1,2023-01-31:05,19.3,106.3,90.7,55.67,185,2023-01-31T12:00:00,2023-01-31T05:00:00,1675141200
Hai Phong,Do Son,20.7136,106.7894,Asia/Ho_Chi_Minh,,132,160.7,2023-01-31:04,13.7,110.7,78.3,47.33,134,2023-01-31T11:00:00,2023-01-31T04:00:00,1675137600
Hai Phong,Do Son,20.7136,106.7894,Asia/Ho_Chi_Minh,,110,145.3,2023-01-31:03,8,115,66,39,83,2023-01-31T10:00:00,2023-01-31T03:00:00,1675134000
Hai Phong,Do Son,20.7136,106.7894,Asia/Ho_Chi_Minh,,127,161.9,2023-01-31:02,13.3,105.7,73.3,45.33,83.7,2023-01-31T09:00:00,2023-01-31T02:00:00,1675130400
Hai Phong,Do Son,20.7136,106.7894,Asia/Ho_Chi_Minh,,144,178.4,2023-01-31:01,18.7,96.3,80.7,51.67,84.3,2023-01-31T08:00:00,2023-01-31T01:00:00,1675126800
Hai Phong,Do Son,20.7136,106.7894,Asia/Ho_Chi_Minh,,153,194.9,2023-01-31:00,24,87,88,58,85,2023-01-31T07:00:00,2023-01-31T00:00:00,1675123200
Hai Phong,Do Son,20.7136,106.7894,Asia/Ho_Chi_Minh,,145,178,2023-01-30:23,18.3,94,79.7,52,78,2023-01-31T06:00:00,2023-01-30T23:00:00,1675119600
Hai Phong,Do Son,20.7136,106.7894,Asia/Ho_Chi_Minh,,129,161.1,2023-01-30:22,12.7,101,71.3,46,71,2023-01-31T05:00:00,2023-01-30T22:00:00,1675116000
Hai Phong,Do Son,20.7136,106.7894,Asia/Ho_Chi_Minh,,112,144.1,2023-01-30:21,7,108,63,40,64,2023-01-31T04:00:00,2023-01-30T21:00:00,1675112400
Hai Phong,Do Son,20.7136,106.7894,Asia/Ho_Chi_Minh,,109,143.4,2023-01-30:20,7.3,109.3,61.3,38.67,63.7,2023-01-31T03:00:00,2023-01-30T20:00:00,1675108800
Hai Phong,Do Son,20.7136,106.7894,Asia/Ho_Chi_Minh,,105,142.6,2023-01-30:19,7.7,110.7,59.7,37.33,63.3,2023-01-31T02:00:00,2023-01-30T19:00:00,1675105200
