Target_City,Target_District,Target_Lat,Target_Lon,API_Timezone,API_Station_ID,aqi,co,datetime,no2,o3,pm10,pm25,so2,timestamp_local,timestamp_utc,ts
Hanoi,Yen Lang,19.95,105.5,Asia/Ho_Chi_Minh,,151,193.4,2023-01-31:17,6,82,81.3,54.33,37.3,2023-02-01T00:00:00,2023-01-31T17:00:00,1675184400
Hanoi,Yen Lang,19.95,105.5,Asia/Ho_Chi_Minh,,149,186.6,2023-01-31:16,6,88,81.7,53.67,39.7,2023-01-31T23:00:00,2023-01-31T16:00:00,1675180800
Hanoi,Yen Lang,19.95,105.5,Asia/Ho_Chi_Minh,,148,179.7,2023-01-31:15,6,94,82,53,42,2023-01-31T22:00:00,2023-01-31T15:00:00,1675177200
Hanoi,Yen Lang,19.95,105.5,Asia/Ho_Chi_Minh,,143,181.5,2023-01-31:14,7,99.7,80,51.33,46.7,2023-01-31T21:00:00,2023-01-31T14:00:00,1675173600
Hanoi,Yen Lang,19.95,105.5,Asia/Ho_Chi_Minh,,139,183.3,2023-01-31:13,8,105.3,78,49.67,51.3,2023-01-31T20:00:00,2023-01-31T13:00:00,1675170000
Hanoi,Yen Lang,19.95,105.5,Asia/Ho_Chi_Minh,,134,185,2023-01-31:12,9,111,76,48,56,2023-01-31T19:00:00,2023-01-31T12:00:00,1675166400
Hanoi,Yen Lang,19.95,105.5,Asia/Ho_Chi_Minh,,129,184.4,2023-01-31:11,8.3,112.3,72.7,46,55.3,2023-01-31T18:00:00,2023-01-31T11:00:00,1675162800
Hanoi,Yen Lang,19.95,105.5,Asia/Ho_Chi_Minh,,123,183.8,2023-01-31:10,7.7,113.7,69.3,44,54.7,2023-01-31T17:00:00,2023-01-31T10:00:00,1675159200
Hanoi,Yen Lang,19.95,105.5,Asia/Ho_Chi_Minh,,118,183.3,2023-01-31:09,7,115,66,42,54,2023-01-31T16:00:00,2023-01-31T09:00:00,1675155600
Hanoi,Yen Lang,19.95,105.5,Asia/Ho_Chi_Minh,,118,184.6,2023-01-31:08,6.3,119.7,65.3,42,55.3,2023-01-31T15:00:00,2023-01-31T08:00:00,1675152000
Hanoi,Yen Lang,19.95,105.5,Asia/Ho_Chi_Minh,,118,186,2023-01-31:07,5.7,124.3,64.7,42,56.7,2023-01-31T14:00:00,2023-01-31T07:00:00,1675148400
Hanoi,Yen Lang,19.95,105.5,Asia/Ho_Chi_Minh,,118,187.3,2023-01-31:06,5,129,64,42,58,2023-01-31T13:00:00,2023-01-31T06:00:00,1675144800
Hanoi,Yen Lang,19.95,105.5,Asia/Ho_Chi_Minh,,132,204.1,2023-01-31:05,6.3,134.3,72,47.33,65.7,2023-01-31T12:00:00,2023-01-31T05:00:00,1675141200
Hanoi,Yen Lang,19.95,105.5,Asia/Ho_Chi_Minh,,147,220.8,2023-01-31:04,7.7,139.7,80,52.67,73.3,2023-01-31T11:00:00,2023-01-31T04:00:00,1675137600
Hanoi,Yen Lang,19.95,105.5,Asia/Ho_Chi_Minh,,153,237.5,2023-01-31:03,9,145,88,58,81,2023-01-31T10:00:00,2023-01-31T03:00:00,1675134000
Hanoi,Yen Lang,19.95,105.5,Asia/Ho_Chi_Minh,,158,273.5,2023-01-31:02,16,102.3,91.7,61.33,66.3,2023-01-31T09:00:00,2023-01-31T02:00:00,1675130400
Hanoi,Yen Lang,19.95,105.5,Asia/Ho_Chi_Minh,,162,309.5,2023-01-31:01,23,59.7,95.3,64.67,51.7,2023-01-31T08:00:00,2023-01-31T01:00:00,1675126800
Hanoi,Yen Lang,19.95,105.5,Asia/Ho_Chi_Minh,,167,345.5,2023-01-31:00,30,17,99,68,37,2023-01-31T07:00:00,2023-01-31T00:00:00,1675123200
Hanoi,Yen Lang,19.95,105.5,Asia/Ho_Chi_Minh,,169,333.2,2023-01-30:23,24.7,26.7,101,69.67,41,2023-01-31T06:00:00,2023-01-30T23:00:00,1675119600
Hanoi,Yen Lang,19.95,105.5,Asia/Ho_Chi_Minh,,171,321,2023-01-30:22,19.3,36.3,103,71.33,45,2023-01-31T05:00:00,2023-01-30T22:00:00,1675116000
Hanoi,Yen Lang,19.95,105.5,Asia/Ho_Chi_Minh,,173,308.7,2023-01-30:21,14,46,105,73,49,2023-01-31T04:00:00,2023-01-30T21:00:00,1675112400
Hanoi,Yen Lang,19.95,105.5,Asia/Ho_Chi_Minh,,175,303.7,2023-01-30:20,15.3,59.3,107.3,74,55.7,2023-01-31T03:00:00,2023-01-30T20:00:00,1675108800
Hanoi,Yen Lang,19.95,105.5,Asia/Ho_Chi_Minh,,176,298.6,2023-01-30:19,16.7,72.7,109.7,75,62.3,2023-01-31T02:00:00,2023-01-30T19:00:00,1675105200
Hanoi,Yen Lang,19.95,105.5,Asia/Ho_Chi_Minh,,177,293.6,2023-01-30:18,18,86,112,76,69,2023-01-31T01:00:00,2023-01-30T18:00:00,1675101600
Hanoi,Yen Lang,19.95,105.5,Asia/Ho_Chi_Minh,,176,290,2023-01-30:17,18.3,92.7,110.3,75,74.3,2023-01-31T00:00:00,2023-01-30T17:00:00,1675098000
Hanoi,Yen Lang,19.95,105.5,Asia/Ho_Chi_Minh,,175,286.5,2023-01-30:16,18.7,99.3,108.7,74,79.7,2023-01-30T23:00:00,2023-01-30T16:00:00,1675094400
Hanoi,Yen Lang,19.95,105.5,Asia/Ho_Chi_Minh,,173,283,2023-01-30:15,19,106,107,73,85,2023-01-30T22:00:00,2023-01-30T15:00:00,1675090800
Hanoi,Yen Lang,19.95,105.5,Asia/Ho_Chi_Minh,,176,284,2023-01-30:14,20.7,112.3,109.3,75,93.3,2023-01-30T21:00:00,2023-01-30T14:00:00,1675087200
Hanoi,Yen Lang,19.95,105.5,Asia/Ho_Chi_Minh,,179,285,2023-01-30:13,22.3,118.7,111.7,77,101.7,2023-01-30T20:00:00,2023-01-30T13:00:00,1675083600
Hanoi,Yen Lang,19.95,105.5,Asia/Ho_Chi_Minh,,181,286,2023-01-30:12,24,125,114,79,110,2023-01-30T19:00:00,2023-01-30T12:00:00,1675080000
Hanoi,Yen Lang,19.95,105.5,Asia/Ho_Chi_Minh,,177,272.7,2023-01-30:11,18.7,152,110,76,118.7,2023-01-30T18:00:00,2023-01-30T11:00:00,1675076400
Hanoi,Yen Lang,19.95,105.5,Asia/Ho_Chi_Minh,,173,259.5,2023-01-30:10,13.3,179,106,73,127.3,2023-01-30T17:00:00,2023-01-30T10:00:00,1675072800
Hanoi,Yen Lang,19.95,105.5,Asia/Ho_Chi_Minh,,169,246.3,2023-01-30:09,8,206,102,70,136,2023-01-30T16:00:00,2023-01-30T09:00:00,1675069200
Hanoi,Yen Lang,19.95,105.5,Asia/Ho_Chi_Minh,,166,236.2,2023-01-30:08,7.7,194.3,98.7,67.67,129.3,2023-01-30T15:00:00,2023-01-30T08:00:00,1675065600
Hanoi,Yen Lang,19.95,105.5,Asia/Ho_Chi_Minh,,163,226,2023-01-30:07,7.3,182.7,95.3,65.33,122.7,2023-01-30T14:00:00,2023-01-30T07:00:00,1675062000
Hanoi,Yen Lang,19.95,105.5,Asia/Ho_Chi_Minh,,160,215.9,2023-01-30:06,7,171,92,63,116,2023-01-30T13:00:00,2023-01-30T06:00:00,1675058400
Hanoi,Yen Lang,19.95,105.5,Asia/Ho_Chi_Minh,,160,209.7,2023-01-30:05,10.7,151.3,92,63,109.3,2023-01-30T12:00:00,2023-01-30T05:00:00,1675054800
Hanoi,Yen Lang,19.95,105.5,Asia/Ho_Chi_Minh,,160,203.5,2023-01-30:04,14.3,131.7,92,63,102.7,2023-01-30T11:00:00,2023-01-30T04:00:00,1675051200
Hanoi,Yen Lang,19.95,105.5,Asia/Ho_Chi_Minh,,160,197.3,2023-01-30:03,18,112,92,63,96,2023-01-30T10:00:00,2023-01-30T03:00:00,1675047600
Hanoi,Yen Lang,19.95,105.5,Asia/Ho_Chi_Minh,,167,216.7,2023-01-30:02,23.3,86,98.7,68,97.3,2023-01-30T09:00:00,2023-01-30T02:00:00,1675044000
Hanoi,Yen Lang,19.95,105.5,Asia/Ho_Chi_Minh,,173,236.2,2023-01-30:01,28.7,60,105.3,73,98.7,2023-01-30T08:00:00,2023-01-30T01:00:00,1675040400
Hanoi,Yen Lang,19.95,105.5,Asia/Ho_Chi_Minh,,180,255.6,2023-01-30:00,34,34,112,78,100,2023-01-30T07:00:00,2023-01-30T00:00:00,1675036800
Hanoi,Yen Lang,19.95,105.5,Asia/Ho_Chi_Minh,,182,258.3,2023-01-29:23,26.3,29.7,113.7,79.33,95.7,2023-01-30T06:00:00,2023-01-29T23:00:00,1675033200
