aqi,co,datetime,no2,o3,pm10,pm25,so2,timestamp_local,timestamp_utc,ts
152,267.9,2023-01-31:17,36.3,46.0,71.3,57.0,87.7,2023-02-01T00:00:00,2023-01-31T17:00:00,1675184400
175,252.7,2023-01-31:16,34.7,53.0,92.5,74.0,88.3,2023-01-31T23:00:00,2023-01-31T16:00:00,1675180800
145,237.5,2023-01-31:15,33.0,60.0,65.0,52.0,89.0,2023-01-31T22:00:00,2023-01-31T15:00:00,1675177200
153,228.6,2023-01-31:14,32.3,71.0,72.5,58.0,92.3,2023-01-31T21:00:00,2023-01-31T14:00:00,1675173600
159,219.6,2023-01-31:13,31.7,82.0,77.5,62.0,95.7,2023-01-31T20:00:00,2023-01-31T13:00:00,1675170000
169,210.7,2023-01-31:12,31.0,93.0,87.5,70.0,99.0,2023-01-31T19:00:00,2023-01-31T12:00:00,1675166400
118,206.0,2023-01-31:11,26.0,103.7,52.5,42.0,98.3,2023-01-31T18:00:00,2023-01-31T11:00:00,1675162800
123,201.3,2023-01-31:10,21.0,114.3,55.0,44.0,97.7,2023-01-31T17:00:00,2023-01-31T10:00:00,1675159200
139,196.7,2023-01-31:09,16.0,125.0,62.5,50.0,97.0,2023-01-31T16:00:00,2023-01-31T09:00:00,1675155600
155,201.3,2023-01-31:08,16.0,124.0,73.8,59.0,97.3,2023-01-31T15:00:00,2023-01-31T08:00:00,1675152000
157,206.0,2023-01-31:07,16.0,123.0,76.3,61.0,97.7,2023-01-31T14:00:00,2023-01-31T07:00:00,1675148400
169,210.7,2023-01-31:06,16.0,122.0,87.5,70.0,98.0,2023-01-31T13:00:00,2023-01-31T06:00:00,1675144800
161,220.8,2023-01-31:05,19.7,112.7,80.0,64.0,100.7,2023-01-31T12:00:00,2023-01-31T05:00:00,1675141200
169,230.9,2023-01-31:04,23.3,103.3,87.5,70.0,103.3,2023-01-31T11:00:00,2023-01-31T04:00:00,1675137600
189,241.0,2023-01-31:03,27.0,94.0,106.3,85.0,106.0,2023-01-31T10:00:00,2023-01-31T03:00:00,1675134000
208,289.1,2023-01-31:02,36.0,69.7,123.8,99.0,100.7,2023-01-31T09:00:00,2023-01-31T02:00:00,1675130400
205,337.1,2023-01-31:01,45.0,45.3,121.3,97.0,95.3,2023-01-31T08:00:00,2023-01-31T01:00:00,1675126800
211,385.2,2023-01-31:00,54.0,21.0,126.3,101.0,90.0,2023-01-31T07:00:00,2023-01-31T00:00:00,1675123200
211,361.8,2023-01-30:23,46.3,25.3,126.3,101.0,90.7,2023-01-31T06:00:00,2023-01-30T23:00:00,1675119600
249,338.5,2023-01-30:22,38.7,29.7,162.5,130.0,91.3,2023-01-31T05:00:00,2023-01-30T22:00:00,1675116000
211,315.1,2023-01-30:21,31.0,34.0,126.3,101.0,92.0,2023-01-31T04:00:00,2023-01-30T21:00:00,1675112400
167,317.5,2023-01-30:20,35.3,35.7,85.0,68.0,94.3,2023-01-31T03:00:00,2023-01-30T20:00:00,1675108800
161,319.8,2023-01-30:19,39.7,37.3,80.0,64.0,96.7,2023-01-31T02:00:00,2023-01-30T19:00:00,1675105200
167,322.1,2023-01-30:18,44.0,39.0,85.0,68.0,99.0,2023-01-31T01:00:00,2023-01-30T18:00:00,1675101600
160,340.0,2023-01-30:17,47.3,46.0,78.8,63.0,110.0,2023-01-31T00:00:00,2023-01-30T17:00:00,1675098000
173,357.9,2023-01-30:16,50.7,53.0,91.3,73.0,121.0,2023-01-30T23:00:00,2023-01-30T16:00:00,1675094400
195,375.8,2023-01-30:15,54.0,60.0,111.3,89.0,132.0,2023-01-30T22:00:00,2023-01-30T15:00:00,1675090800
211,454.8,2023-01-30:14,77.3,57.7,126.3,101.0,135.3,2023-01-30T21:00:00,2023-01-30T14:00:00,1675087200
258,533.8,2023-01-30:13,100.7,55.3,171.3,137.0,138.7,2023-01-30T20:00:00,2023-01-30T13:00:00,1675083600
239,612.8,2023-01-30:12,124.0,53.0,152.5,122.0,142.0,2023-01-30T19:00:00,2023-01-30T12:00:00,1675080000
225,492.6,2023-01-30:11,86.7,108.0,140.0,112.0,133.7,2023-01-30T18:00:00,2023-01-30T11:00:00,1675076400
225,372.3,2023-01-30:10,49.3,163.0,140.0,112.0,125.3,2023-01-30T17:00:00,2023-01-30T10:00:00,1675072800
204,252.1,2023-01-30:09,12.0,218.0,120.0,96.0,117.0,2023-01-30T16:00:00,2023-01-30T09:00:00,1675069200
192,249.0,2023-01-30:08,11.3,208.0,108.8,87.0,111.0,2023-01-30T15:00:00,2023-01-30T08:00:00,1675065600
176,245.9,2023-01-30:07,10.7,198.0,93.8,75.0,105.0,2023-01-30T14:00:00,2023-01-30T07:00:00,1675062000
195,242.8,2023-01-30:06,10.0,188.0,111.3,89.0,99.0,2023-01-30T13:00:00,2023-01-30T06:00:00,1675058400
205,310.9,2023-01-30:05,27.7,157.7,121.3,97.0,110.7,2023-01-30T12:00:00,2023-01-30T05:00:00,1675054800
232,379.0,2023-01-30:04,45.3,127.3,146.3,117.0,122.3,2023-01-30T11:00:00,2023-01-30T04:00:00,1675051200
252,447.0,2023-01-30:03,63.0,97.0,165.0,132.0,134.0,2023-01-30T10:00:00,2023-01-30T03:00:00,1675047600
270,578.3,2023-01-30:02,77.7,66.3,182.5,146.0,124.0,2023-01-30T09:00:00,2023-01-30T02:00:00,1675044000
269,709.7,2023-01-30:01,92.3,35.7,181.3,145.0,114.0,2023-01-30T08:00:00,2023-01-30T01:00:00,1675040400
156,841.0,2023-01-30:00,107.0,5.0,195.0,156.0,104.0,2023-01-30T07:00:00,2023-01-30T00:00:00,1675036800
156,847.2,2023-01-29:23,103.7,3.3,195.0,156.0,119.3,2023-01-30T06:00:00,2023-01-29T23:00:00,1675033200
272,853.4,2023-01-29:22,100.3,1.7,183.8,147.0,134.7,2023-01-30T05:00:00,2023-01-29T22:00:00,1675029600
258,859.6,2023-01-29:21,97.0,0.0,171.3,137.0,150.0,2023-01-30T04:00:00,2023-01-29T21:00:00,1675026000
219,841.9,2023-01-29:20,97.7,0.0,133.8,107.0,140.7,2023-01-30T03:00:00,2023-01-29T20:00:00,1675022400
195,824.2,2023-01-29:19,98.3,0.0,111.3,89.0,131.3,2023-01-30T02:00:00,2023-01-29T19:00:00,1675018800
195,806.5,2023-01-29:18,99.0,0.0,111.3,89.0,122.0,2023-01-30T01:00:00,2023-01-29T18:00:00,1675015200
248,770.9,2023-01-29:17,103.7,0.0,161.3,129.0,113.0,2023-01-30T00:00:00,2023-01-29T17:00:00,1675011600
154,735.3,2023-01-29:16,108.3,0.0,192.5,154.0,104.0,2023-01-29T23:00:00,2023-01-29T16:00:00,1675008000
242,699.7,2023-01-29:15,113.0,0.0,156.3,125.0,95.0,2023-01-29T22:00:00,2023-01-29T15:00:00,1675004400
229,681.1,2023-01-29:14,111.7,4.3,143.8,115.0,97.3,2023-01-29T21:00:00,2023-01-29T14:00:00,1675000800
227,662.4,2023-01-29:13,110.3,8.7,142.1,113.67,99.7,2023-01-29T20:00:00,2023-01-29T13:00:00,1674997200
220,643.7,2023-01-29:12,109.0,13.0,135.0,108.0,102.0,2023-01-29T19:00:00,2023-01-29T12:00:00,1674993600
184,485.2,2023-01-29:11,75.7,53.7,101.3,81.0,91.7,2023-01-29T18:00:00,2023-01-29T11:00:00,1674990000
160,326.6,2023-01-29:10,42.3,94.3,78.8,63.0,81.3,2023-01-29T17:00:00,2023-01-29T10:00:00,1674986400
155,168.1,2023-01-29:09,9.0,135.0,73.8,59.0,71.0,2023-01-29T16:00:00,2023-01-29T09:00:00,1674982800
161,162.0,2023-01-29:08,7.7,131.0,80.0,64.0,69.7,2023-01-29T15:00:00,2023-01-29T08:00:00,1674979200
148,156.0,2023-01-29:07,6.3,127.0,66.3,53.0,68.3,2023-01-29T14:00:00,2023-01-29T07:00:00,1674975600
139,150.0,2023-01-29:06,5.0,123.0,62.5,50.0,67.0,2023-01-29T13:00:00,2023-01-29T06:00:00,1674972000
156,153.3,2023-01-29:05,5.7,112.0,75.0,60.0,67.0,2023-01-29T12:00:00,2023-01-29T05:00:00,1674968400
152,156.6,2023-01-29:04,6.3,101.0,71.3,57.0,67.0,2023-01-29T11:00:00,2023-01-29T04:00:00,1674964800
184,159.9,2023-01-29:03,7.0,90.0,101.3,81.0,67.0,2023-01-29T10:00:00,2023-01-29T03:00:00,1674961200
211,197.3,2023-01-29:02,17.3,69.3,126.3,101.0,68.3,2023-01-29T09:00:00,2023-01-29T02:00:00,1674957600
183,234.6,2023-01-29:01,27.7,48.7,100.0,80.0,69.7,2023-01-29T08:00:00,2023-01-29T01:00:00,1674954000
185,272.0,2023-01-29:00,38.0,28.0,102.5,82.0,71.0,2023-01-29T07:00:00,2023-01-29T00:00:00,1674950400
182,239.9,2023-01-28:23,31.7,35.7,99.2,79.33,70.0,2023-01-29T06:00:00,2023-01-28T23:00:00,1674946800
196,207.8,2023-01-28:22,25.3,43.3,112.5,90.0,69.0,2023-01-29T05:00:00,2023-01-28T22:00:00,1674943200
175,175.7,2023-01-28:21,19.0,51.0,92.5,74.0,68.0,2023-01-29T04:00:00,2023-01-28T21:00:00,1674939600
164,291.0,2023-01-28:20,32.0,40.3,82.5,66.0,80.7,2023-01-29T03:00:00,2023-01-28T20:00:00,1674936000
152,406.4,2023-01-28:19,45.0,29.7,71.3,57.0,93.3,2023-01-29T02:00:00,2023-01-28T19:00:00,1674932400
160,521.7,2023-01-28:18,58.0,19.0,78.8,63.0,106.0,2023-01-29T01:00:00,2023-01-28T18:00:00,1674928800
179,666.3,2023-01-28:17,63.7,19.0,96.3,77.0,121.3,2023-01-29T00:00:00,2023-01-28T17:00:00,1674925200
239,810.8,2023-01-28:16,69.3,19.0,152.5,122.0,136.7,2023-01-28T23:00:00,2023-01-28T16:00:00,1674921600
246,955.4,2023-01-28:15,75.0,19.0,160.0,128.0,152.0,2023-01-28T22:00:00,2023-01-28T15:00:00,1674918000
216,841.7,2023-01-28:14,81.7,22.0,131.3,105.0,147.0,2023-01-28T21:00:00,2023-01-28T14:00:00,1674914400
207,728.1,2023-01-28:13,88.3,25.0,122.5,98.0,142.0,2023-01-28T20:00:00,2023-01-28T13:00:00,1674910800
159,614.5,2023-01-28:12,95.0,28.0,77.5,62.0,137.0,2023-01-28T19:00:00,2023-01-28T12:00:00,1674907200
153,459.3,2023-01-28:11,66.0,61.7,72.5,58.0,116.7,2023-01-28T18:00:00,2023-01-28T11:00:00,1674903600
126,304.1,2023-01-28:10,37.0,95.3,56.3,45.0,96.3,2023-01-28T17:00:00,2023-01-28T10:00:00,1674900000
131,148.8,2023-01-28:09,8.0,129.0,58.8,47.0,76.0,2023-01-28T16:00:00,2023-01-28T09:00:00,1674896400
150,145.9,2023-01-28:08,7.0,126.7,67.5,54.0,75.0,2023-01-28T15:00:00,2023-01-28T08:00:00,1674892800
126,143.0,2023-01-28:07,6.0,124.3,56.3,45.0,74.0,2023-01-28T14:00:00,2023-01-28T07:00:00,1674889200
121,140.1,2023-01-28:06,5.0,122.0,53.8,43.0,73.0,2023-01-28T13:00:00,2023-01-28T06:00:00,1674885600
