Target_City,Target_District,Target_Lat,Target_Lon,API_Timezone,API_Station_ID,aqi,co,datetime,no2,o3,pm10,pm25,so2,timestamp_local,timestamp_utc,ts
Nghe An,Nghe An,18.6734,105.6923,Asia/Ho_Chi_Minh,,84,122.6,2023-01-31:17,1.7,117.3,49.7,27.67,18.3,2023-02-01T00:00:00,2023-01-31T17:00:00,1675184400
Nghe An,Nghe An,18.6734,105.6923,Asia/Ho_Chi_Minh,,81,119.1,2023-01-31:16,1.3,120.7,48.3,26.33,17.7,2023-01-31T23:00:00,2023-01-31T16:00:00,1675180800
Nghe An,Nghe An,18.6734,105.6923,Asia/Ho_Chi_Minh,,78,115.6,2023-01-31:15,1,124,47,25,17,2023-01-31T22:00:00,2023-01-31T15:00:00,1675177200
Nghe An,Nghe An,18.6734,105.6923,Asia/Ho_Chi_Minh,,79,116.3,2023-01-31:14,1,127,48,25.33,18,2023-01-31T21:00:00,2023-01-31T14:00:00,1675173600
Nghe An,Nghe An,18.6734,105.6923,Asia/Ho_Chi_Minh,,80,117.1,2023-01-31:13,1,130,49,25.67,19,2023-01-31T20:00:00,2023-01-31T13:00:00,1675170000
Nghe An,Nghe An,18.6734,105.6923,Asia/Ho_Chi_Minh,,80,117.9,2023-01-31:12,1,133,50,26,20,2023-01-31T19:00:00,2023-01-31T12:00:00,1675166400
Nghe An,Nghe An,18.6734,105.6923,Asia/Ho_Chi_Minh,,90,129.8,2023-01-31:11,1,131.3,57,30.67,24.3,2023-01-31T18:00:00,2023-01-31T11:00:00,1675162800
Nghe An,Nghe An,18.6734,105.6923,Asia/Ho_Chi_Minh,,100,141.6,2023-01-31:10,1,129.7,64,35.33,28.7,2023-01-31T17:00:00,2023-01-31T10:00:00,1675159200
Nghe An,Nghe An,18.6734,105.6923,Asia/Ho_Chi_Minh,,112,153.5,2023-01-31:09,1,128,71,40,33,2023-01-31T16:00:00,2023-01-31T09:00:00,1675155600
Nghe An,Nghe An,18.6734,105.6923,Asia/Ho_Chi_Minh,,122,161.9,2023-01-31:08,1.3,131.3,76,43.67,37.7,2023-01-31T15:00:00,2023-01-31T08:00:00,1675152000
Nghe An,Nghe An,18.6734,105.6923,Asia/Ho_Chi_Minh,,132,170.2,2023-01-31:07,1.7,134.7,81,47.33,42.3,2023-01-31T14:00:00,2023-01-31T07:00:00,1675148400
Nghe An,Nghe An,18.6734,105.6923,Asia/Ho_Chi_Minh,,142,178.6,2023-01-31:06,2,138,86,51,47,2023-01-31T13:00:00,2023-01-31T06:00:00,1675144800
Nghe An,Nghe An,18.6734,105.6923,Asia/Ho_Chi_Minh,,154,195.3,2023-01-31:05,3,134.7,91.3,55.33,47,2023-01-31T12:00:00,2023-01-31T05:00:00,1675141200
Nghe An,Nghe An,18.6734,105.6923,Asia/Ho_Chi_Minh,,156,212,2023-01-31:04,4,131.3,96.7,59.67,47,2023-01-31T11:00:00,2023-01-31T04:00:00,1675137600
Nghe An,Nghe An,18.6734,105.6923,Asia/Ho_Chi_Minh,,161,228.8,2023-01-31:03,5,128,102,64,47,2023-01-31T10:00:00,2023-01-31T03:00:00,1675134000
Nghe An,Nghe An,18.6734,105.6923,Asia/Ho_Chi_Minh,,159,226.2,2023-01-31:02,6,124.3,99,62.33,45.3,2023-01-31T09:00:00,2023-01-31T02:00:00,1675130400
