Target_City,Target_District,Target_Lat,Target_Lon,API_Timezone,API_Station_ID,aqi,co,datetime,no2,o3,pm10,pm25,so2,timestamp_local,timestamp_utc,ts
Vinh Long,Tra Vinh,9.9472,106.3423,Asia/Ho_Chi_Minh,,47,86.4,2023-01-31:17,2.3,71.3,18.3,11.33,3.3,2023-02-01T00:00:00,2023-01-31T17:00:00,1675184400
Vinh Long,Tra Vinh,9.9472,106.3423,Asia/Ho_Chi_Minh,,44,89.3,2023-01-31:16,2.7,73.7,17.7,10.67,3.7,2023-01-31T23:00:00,2023-01-31T16:00:00,1675180800
Vinh Long,Tra Vinh,9.9472,106.3423,Asia/Ho_Chi_Minh,,42,92.2,2023-01-31:15,3,76,17,10,4,2023-01-31T22:00:00,2023-01-31T15:00:00,1675177200
Vinh Long,Tra Vinh,9.9472,106.3423,Asia/Ho_Chi_Minh,,51,100.6,2023-01-31:14,3.7,82.7,20.7,12.33,5.7,2023-01-31T21:00:00,2023-01-31T14:00:00,1675173600
Vinh Long,Tra Vinh,9.9472,106.3423,Asia/Ho_Chi_Minh,,56,108.9,2023-01-31:13,4.3,89.3,24.3,14.67,7.3,2023-01-31T20:00:00,2023-01-31T13:00:00,1675170000
Vinh Long,Tra Vinh,9.9472,106.3423,Asia/Ho_Chi_Minh,,61,117.3,2023-01-31:12,5,96,28,17,9,2023-01-31T19:00:00,2023-01-31T12:00:00,1675166400
Vinh Long,Tra Vinh,9.9472,106.3423,Asia/Ho_Chi_Minh,,67,115.9,2023-01-31:11,4,108.3,31.7,19.67,10.7,2023-01-31T18:00:00,2023-01-31T11:00:00,1675162800
Vinh Long,Tra Vinh,9.9472,106.3423,Asia/Ho_Chi_Minh,,72,114.6,2023-01-31:10,3,120.7,35.3,22.33,12.3,2023-01-31T17:00:00,2023-01-31T10:00:00,1675159200
Vinh Long,Tra Vinh,9.9472,106.3423,Asia/Ho_Chi_Minh,,78,113.2,2023-01-31:09,2,133,39,25,14,2023-01-31T16:00:00,2023-01-31T09:00:00,1675155600
Vinh Long,Tra Vinh,9.9472,106.3423,Asia/Ho_Chi_Minh,,83,123.3,2023-01-31:08,2,139,42.3,27.33,15.3,2023-01-31T15:00:00,2023-01-31T08:00:00,1675152000
Vinh Long,Tra Vinh,9.9472,106.3423,Asia/Ho_Chi_Minh,,88,133.4,2023-01-31:07,2,145,45.7,29.67,16.7,2023-01-31T14:00:00,2023-01-31T07:00:00,1675148400
Vinh Long,Tra Vinh,9.9472,106.3423,Asia/Ho_Chi_Minh,,93,143.6,2023-01-31:06,2,151,49,32,18,2023-01-31T13:00:00,2023-01-31T06:00:00,1675144800
Vinh Long,Tra Vinh,9.9472,106.3423,Asia/Ho_Chi_Minh,,95,155.8,2023-01-31:05,2.7,145.7,50.3,33,18.7,2023-01-31T12:00:00,2023-01-31T05:00:00,1675141200
Vinh Long,Tra Vinh,9.9472,106.3423,Asia/Ho_Chi_Minh,,98,168.1,2023-01-31:04,3.3,140.3,51.7,34,19.3,2023-01-31T11:00:00,2023-01-31T04:00:00,1675137600
Vinh Long,Tra Vinh,9.9472,106.3423,Asia/Ho_Chi_Minh,,100,180.3,2023-01-31:03,4,135,53,35,20,2023-01-31T10:00:00,2023-01-31T03:00:00,1675134000
Vinh Long,Tra Vinh,9.9472,106.3423,Asia/Ho_Chi_Minh,,106,197.6,2023-01-31:02,9,109.3,56.7,37.67,18,2023-01-31T09:00:00,2023-01-31T02:00:00,1675130400
Vinh Long,Tra Vinh,9.9472,106.3423,Asia/Ho_Chi_Minh,,113,215,2023-01-31:01,14,83.7,60.3,40.33,16,2023-01-31T08:00:00,2023-01-31T01:00:00,1675126800
Vinh Long,Tra Vinh,9.9472,106.3423,Asia/Ho_Chi_Minh,,121,232.3,2023-01-31:00,19,58,64,43,14,2023-01-31T07:00:00,2023-01-31T00:00:00,1675123200
Vinh Long,Tra Vinh,9.9472,106.3423,Asia/Ho_Chi_Minh,,121,235.4,2023-01-30:23,17,60,64.7,43.33,14.7,2023-01-31T06:00:00,2023-01-30T23:00:00,1675119600
Vinh Long,Tra Vinh,9.9472,106.3423,Asia/Ho_Chi_Minh,,122,238.5,2023-01-30:22,15,62,65.3,43.67,15.3,2023-01-31T05:00:00,2023-01-30T22:00:00,1675116000
Vinh Long,Tra Vinh,9.9472,106.3423,Asia/Ho_Chi_Minh,,123,241.6,2023-01-30:21,13,64,66,44,16,2023-01-31T04:00:00,2023-01-30T21:00:00,1675112400
Vinh Long,Tra Vinh,9.9472,106.3423,Asia/Ho_Chi_Minh,,120,242.4,2023-01-30:20,14,67.3,64.3,42.67,16,2023-01-31T03:00:00,2023-01-30T20:00:00,1675108800
Vinh Long,Tra Vinh,9.9472,106.3423,Asia/Ho_Chi_Minh,,116,243.2,2023-01-30:19,15,70.7,62.7,41.33,16,2023-01-31T02:00:00,2023-01-30T19:00:00,1675105200
Vinh Long,Tra Vinh,9.9472,106.3423,Asia/Ho_Chi_Minh,,112,243.9,2023-01-30:18,16,74,61,40,16,2023-01-31T01:00:00,2023-01-30T18:00:00,1675101600
Vinh Long,Tra Vinh,9.9472,106.3423,Asia/Ho_Chi_Minh,,112,250,2023-01-30:17,17,75.3,61,39.67,16,2023-01-31T00:00:00,2023-01-30T17:00:00,1675098000
