Target_City,Target_District,Target_Lat,Target_Lon,API_Timezone,API_Station_ID,aqi,co,datetime,no2,o3,pm10,pm25,so2,timestamp_local,timestamp_utc,ts
Ho Chi Minh,Binh Chanh,10.6954,106.5913,Asia/Ho_Chi_Minh,,80,142,2023-01-31:17,20.3,54.7,32.5,26,44,2023-02-01T00:00:00,2023-01-31T17:00:00,1675184400
Ho Chi Minh,Binh Chanh,10.6954,106.5913,Asia/Ho_Chi_Minh,,85,137,2023-01-31:16,17.7,62.3,35,28,39,2023-01-31T23:00:00,2023-01-31T16:00:00,1675180800
Ho Chi Minh,Binh Chanh,10.6954,106.5913,Asia/Ho_Chi_Minh,,74,131.9,2023-01-31:15,15,70,28.8,23,34,2023-01-31T22:00:00,2023-01-31T15:00:00,1675177200
Ho Chi Minh,Binh Chanh,10.6954,106.5913,Asia/Ho_Chi_Minh,,87,154.7,2023-01-31:14,19.7,85.7,36.3,29,44,2023-01-31T21:00:00,2023-01-31T14:00:00,1675173600
Ho Chi Minh,Binh Chanh,10.6954,106.5913,Asia/Ho_Chi_Minh,,87,177.4,2023-01-31:13,24.3,101.3,36.3,29,54,2023-01-31T20:00:00,2023-01-31T13:00:00,1675170000
Ho Chi Minh,Binh Chanh,10.6954,106.5913,Asia/Ho_Chi_Minh,,91,200.2,2023-01-31:12,29,117,38.8,31,64,2023-01-31T19:00:00,2023-01-31T12:00:00,1675166400
Ho Chi Minh,Binh Chanh,10.6954,106.5913,Asia/Ho_Chi_Minh,,89,195.3,2023-01-31:11,24.7,150.7,37.5,30,56.3,2023-01-31T18:00:00,2023-01-31T11:00:00,1675162800
Ho Chi Minh,Binh Chanh,10.6954,106.5913,Asia/Ho_Chi_Minh,,107,190.4,2023-01-31:10,20.3,184.3,35,28,48.7,2023-01-31T17:00:00,2023-01-31T10:00:00,1675159200
Ho Chi Minh,Binh Chanh,10.6954,106.5913,Asia/Ho_Chi_Minh,,117,185.6,2023-01-31:09,16,218,40,32,41,2023-01-31T16:00:00,2023-01-31T09:00:00,1675155600
Ho Chi Minh,Binh Chanh,10.6954,106.5913,Asia/Ho_Chi_Minh,,122,199.2,2023-01-31:08,14,233,40,32,54.7,2023-01-31T15:00:00,2023-01-31T08:00:00,1675152000
Ho Chi Minh,Binh Chanh,10.6954,106.5913,Asia/Ho_Chi_Minh,,126,212.8,2023-01-31:07,12,248,36.3,29,68.3,2023-01-31T14:00:00,2023-01-31T07:00:00,1675148400
Ho Chi Minh,Binh Chanh,10.6954,106.5913,Asia/Ho_Chi_Minh,,131,226.4,2023-01-31:06,10,263,38.8,31,82,2023-01-31T13:00:00,2023-01-31T06:00:00,1675144800
Ho Chi Minh,Binh Chanh,10.6954,106.5913,Asia/Ho_Chi_Minh,,120,251.3,2023-01-31:05,18.3,228.3,40,32,85.3,2023-01-31T12:00:00,2023-01-31T05:00:00,1675141200
Ho Chi Minh,Binh Chanh,10.6954,106.5913,Asia/Ho_Chi_Minh,,110,276.2,2023-01-31:04,26.7,193.7,46.3,37,88.7,2023-01-31T11:00:00,2023-01-31T04:00:00,1675137600
Ho Chi Minh,Binh Chanh,10.6954,106.5913,Asia/Ho_Chi_Minh,,112,301.1,2023-01-31:03,35,159,50,40,92,2023-01-31T10:00:00,2023-01-31T03:00:00,1675134000
Ho Chi Minh,Binh Chanh,10.6954,106.5913,Asia/Ho_Chi_Minh,,159,351.1,2023-01-31:02,52.3,111,77.5,62,72,2023-01-31T09:00:00,2023-01-31T02:00:00,1675130400
Ho Chi Minh,Binh Chanh,10.6954,106.5913,Asia/Ho_Chi_Minh,,157,401.1,2023-01-31:01,69.7,63,76.3,61,52,2023-01-31T08:00:00,2023-01-31T01:00:00,1675126800
Ho Chi Minh,Binh Chanh,10.6954,106.5913,Asia/Ho_Chi_Minh,,150,451.1,2023-01-31:00,87,15,67.5,54,32,2023-01-31T07:00:00,2023-01-31T00:00:00,1675123200
Ho Chi Minh,Binh Chanh,10.6954,106.5913,Asia/Ho_Chi_Minh,,134,434.2,2023-01-30:23,80.7,20.7,60,48,31,2023-01-31T06:00:00,2023-01-30T23:00:00,1675119600
Ho Chi Minh,Binh Chanh,10.6954,106.5913,Asia/Ho_Chi_Minh,,129,417.3,2023-01-30:22,74.3,26.3,57.5,46,30,2023-01-31T05:00:00,2023-01-30T22:00:00,1675116000
Ho Chi Minh,Binh Chanh,10.6954,106.5913,Asia/Ho_Chi_Minh,,134,400.3,2023-01-30:21,68,32,60,48,29,2023-01-31T04:00:00,2023-01-30T21:00:00,1675112400
Ho Chi Minh,Binh Chanh,10.6954,106.5913,Asia/Ho_Chi_Minh,,93,388.5,2023-01-30:20,68.7,38.7,40,32,27.3,2023-01-31T03:00:00,2023-01-30T20:00:00,1675108800
