epoch,train_loss,val_loss,time,pm25_rmse,pm25_mae,pm25_r2,pm25_mape,pm10_rmse,pm10_mae,pm10_r2,pm10_mape,co_rmse,co_mae,co_r2,co_mape,o3_rmse,o3_mae,o3_r2,o3_mape,no2_rmse,no2_mae,no2_r2,no2_mape,so2_rmse,so2_mae,so2_r2,so2_mape
1,0.16639183083890188,0.2008003268325538,4.441179275512695,20.595306661813527,11.75944995880127,0.5450887084007263,44.08606,28.410031376478624,16.99711036682129,0.48881834745407104,39.819683,983.9470260130878,321.79046630859375,0.40505367517471313,100.45935,30.69412340213972,19.158470153808594,0.5664176940917969,189.63493,31.967036435319294,14.904654502868652,0.4495992064476013,73.6175,41.13711026336576,22.221654891967773,0.48150134086608887,69.404015
2,0.15442549248396512,0.19729511596654592,4.262623310089111,20.63750139001926,11.652074813842773,0.5432227849960327,42.611073,28.462142696826803,16.848037719726562,0.4869413375854492,38.745323,985.8612351644626,317.435791015625,0.4027366042137146,95.573395,30.246314462661708,18.520057678222656,0.5789768695831299,175.54416,31.894978803121386,14.739241600036621,0.4520777463912964,70.8473,41.345660268604675,21.753488540649414,0.47623080015182495,65.97137
3,0.1507116024657874,0.19466467816055866,4.225498676300049,20.598419632520887,11.518627166748047,0.5449512004852295,42.189213,28.42913467276462,16.69344711303711,0.48813068866729736,38.325123,980.0625617785836,316.0697021484375,0.40974193811416626,93.91359,29.865284892316343,18.116117477416992,0.5895177721977234,175.7676,31.66981967153182,14.597526550292969,0.45978641510009766,69.513336,40.67118318418537,21.188308715820312,0.4931800961494446,65.43504
4,0.14841079063923426,0.19275968822470882,3.9865572452545166,20.46483144743379,11.434464454650879,0.5508343577384949,42.230263,28.239127168215667,16.603403091430664,0.49494999647140503,38.426487,964.6616958809964,314.3861999511719,0.42814701795578003,93.66672,29.64919506607905,17.980289459228516,0.5954363346099854,179.95825,31.54919757578283,14.557999610900879,0.4638936519622803,69.6662,40.60358961049888,21.0552978515625,0.49486327171325684,65.9434
5,0.14693199103357088,0.1927083332026214,3.857182741165161,20.40171663130106,11.415605545043945,0.5536006093025208,41.658188,28.173224714617113,16.55909538269043,0.4973045587539673,37.984474,979.610158430383,315.9269714355469,0.41028672456741333,93.49335,29.57655874418857,17.946578979492188,0.5974161624908447,174.02486,31.442548403360313,14.44499683380127,0.4675120711326599,68.298134,40.49135016860468,21.055322647094727,0.4976521134376526,64.39097
6,0.14580707475018334,0.192137325411303,3.9417834281921387,20.786809054399438,11.503127098083496,0.536589503288269,42.424725,28.540229111455552,16.6554012298584,0.4841223359107971,38.54808,999.7227740728927,319.00115966796875,0.3858230710029602,97.84379,29.490205852298445,17.76378059387207,0.5997635126113892,177.86491,31.901309416393378,14.59537410736084,0.451860249042511,71.075424,40.71041801266139,21.003684997558594,0.4922017455101013,67.55405
7,0.14486019263489985,0.1920200204640104,4.028146505355835,20.80179024841522,11.4847412109375,0.5359213352203369,41.726303,28.557841181867197,16.61799430847168,0.4834854006767273,37.917526,1026.2541717332992,319.50274658203125,0.35279154777526855,94.76666,29.330773097350864,17.616979598999023,0.6040794253349304,172.20761,32.018955338620316,14.486199378967285,0.44780993461608887,68.9225,41.77742392027137,21.320924758911133,0.4652344584465027,66.15544
8,0.14398444800729482,0.18973927997183382,4.1346800327301025,20.329142821367615,11.31572151184082,0.5567708611488342,41.538082,28.030139505595134,16.41048812866211,0.5023977756500244,37.628323,967.0169013517809,311.5911560058594,0.4253513216972351,92.650856,29.179894577578477,17.61574935913086,0.6081421971321106,175.49182,31.375397820249326,14.40336799621582,0.46978408098220825,68.04126,40.107118228778134,20.769243240356445,0.5071406364440918,65.09074
9,0.14346845946471457,0.18944198115352998,3.8869435787200928,20.456233500174754,11.328927993774414,0.5512117147445679,41.354427,28.103046987826783,16.412057876586914,0.4998058080673218,37.539436,975.7763255480223,313.01690673828125,0.41489356756210327,92.28685,29.118494445111683,17.518281936645508,0.6097896099090576,173.56071,31.217764624088638,14.315118789672852,0.4750983715057373,67.54395,40.13929755249601,20.751920700073242,0.5063494443893433,63.99998
10,0.14270343862369028,0.18845884122869425,3.8226265907287598,20.539251199684713,11.33584213256836,0.5475616455078125,41.998276,28.176108077700334,16.44062042236328,0.4972016215324402,37.967525,980.820447380661,313.4436340332031,0.4088287353515625,94.57611,29.048592732628094,17.392488479614258,0.6116607785224915,179.2345,31.69360052068625,14.391732215881348,0.45897483825683594,68.67034,40.327256262436826,20.659469604492188,0.5017154216766357,65.94267
