Feature,Strategy,Raw Skew,Norm Skew,Raw Kurt,Norm Kurt,Raw Range,Norm Range,Zeros%
co,log1p + StandardScaler,3.816268305538621,-0.30829459091034195,27.134007148429838,0.052585471063169464,"[0.0, 15956.2]","[-4.93, 3.51]",0.011736630022299598
oxidation_potential,log1p + StandardScaler,3.456546381436601,-1.0510998263160891,27.857512010931693,2.6883551895254123,"[0.0, 143146.0]","[-5.44, 2.76]",0.0
pollution_load,log1p + StandardScaler,3.8499660668085665,0.23963311188168343,27.835434544087587,-0.0637178163930261,"[18.0, 15980.9]","[-3.31, 3.93]",0.0
so2,log1p + RobustScaler,4.739613505891819,-0.7210992045582486,43.0164282352714,-0.08009707467820837,"[0.0, 721.0]","[-3.18, 1.89]",0.027385470052032394
humid_sulfate_risk,log1p + RobustScaler,5.3690864048047855,-0.9065693576449672,54.06413103426978,0.8131308999013949,"[0.0, 71600.0]","[-6.10, 1.97]",0.027385470052032394
pm25,"log1p + RobustScaler (PM2.5 target, no clip)",2.738347231699254,-0.012870170450291634,11.90938940772651,0.7188200503687803,"[1.0, 457.0]","[-3.39, 2.81]",0.0
precip,clip(q99) + log1p + MinMaxScaler,8.553953429064318,3.567833229071844,103.33833649178446,12.869249308549227,"[0.0, 26.4]","[0.00, 1.00]",74.07378428074018
dust_source_potential,clip(q99) + log1p + MinMaxScaler,0.8506146889490744,-0.21261493695699132,1.9264520400634013,-0.3491046543597398,"[0.0, 11.7]","[0.00, 1.00]",0.07433199014123079
pm10,clip(q99.5) + log1p + RobustScaler,7.32085372386579,0.03996694394699096,87.02941443293295,0.9300523902890849,"[1.0, 1103.0]","[-3.57, 2.67]",0.0
no2,clip(q99.5) + log1p + RobustScaler,3.4712078392241152,0.3682781091669431,20.883294800307226,-0.23177158294124522,"[1.0, 693.0]","[-2.51, 2.54]",0.0
o3,RobustScaler only,1.7684991112413728,1.7684991112413728,7.030344138526829,7.030344138526827,"[0.0, 700.0]","[-0.80, 12.74]",0.0
wind_spd,RobustScaler only,0.9375804704640183,0.9375804704640173,3.1900848996376223,3.190084899637616,"[0.0, 16.9]","[-1.36, 8.33]",0.07433199014123079
wind_gusts,RobustScaler only,0.9261133182894523,0.9261133182894533,3.1055407623324025,3.105540762332406,"[0.3, 28.2]","[-1.54, 8.43]",0.0
temp,StandardScaler only,-0.46867165930080634,-0.4686716593008057,-0.19599863792657723,-0.1959986379265768,"[6.5, 41.2]","[-3.31, 3.02]",0.0
dewpt,StandardScaler only,-1.0653778656771111,-1.0653778656771111,0.3729774792166123,0.37297747921661184,"[-4.1, 28.6]","[-4.05, 1.35]",0.007824420014866398
thermal_stability,StandardScaler only,-0.19575043880411305,-0.19575043880411291,1.059785306942001,1.0597853069420018,"[-7.8, 4.5]","[-6.11, 5.55]",2.1869253941551583
soil_temp_0_7,StandardScaler only,-0.35964893652190016,-0.3596489365219001,-0.3900863571602704,-0.39008635716027085,"[10.4, 40.0]","[-2.99, 2.68]",0.0
no2_so2_log_diff,StandardScaler only,0.38206963500117236,0.3820696350011724,-0.639308637159079,-0.6393086371590782,"[-4.8, 4.8]","[-2.98, 4.10]",0.16040061030476116
rh,MinMaxScaler only,-0.7901694518900998,-0.7901694518901009,0.0626561232115983,0.06265612321160052,"[22.0, 100.0]","[0.00, 1.00]",0.0
clouds,MinMaxScaler only,-0.9868940814976641,-0.9868940814976636,-0.7666819525658188,-0.7666819525658197,"[0.0, 100.0]","[0.00, 1.00]",6.271272641915418
soil_moist_0_7,MinMaxScaler only,-0.7918612671510104,-0.7918612671510092,-0.020077090658006558,-0.02007709065800789,"[0.0, 0.4]","[-0.16, 1.00]",0.0
